Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20171002;SXXP;STOXX Europe 600;EU0009658202;461669;CH0038863350;NESN.S;NESTLE;CH;CHF;Six Swiss Exchange;Large;7;1;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;477408;CH0012005267;NOVN.S;NOVARTIS;CH;CHF;Six Swiss Exchange;Large;1;2;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;040054;GB0005405286;HSBA.L;HSBC;GB;GBP;London SE;Large;2;3;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;474577;CH0012032048;ROG.S;RO E HLDG P;CH;CHF;Six Swiss Exchange;Large;8;4;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;028758;GB0002875804;BATS.L;BRITISH AMERICAN TOBACCO;GB;GBP;London SE;Large;6;5;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;;GB00B03MLX29;RDSa.AS;BCBL BCBL ROYAL DUTCH SHELL A;GB;EUR;Euronext Amsterdam;Large;3;6;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;490541;FR0000120271;TOTF.PA;BC TOTAL;FR;EUR;Euronext Paris;Large;6;7;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;013849;GB0007980591;BP.L;BP;GB;GBP;London SE;Large;0;8;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;480710;DE0007236101;SIEGn.DE;SIEGn. SIEMENS;DE;EUR;Xetra;Large;3;9;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;477518;FR0000120578;SASY.PA;SANOFI;FR;EUR;Euronext Paris;Large;6;10;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;408530;DE000BAY0017;BAYGn.DE;BAYGn. BAYER;DE;EUR;Xetra;Large;3;11;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;407228;ES0113900J37;SAN.MC;BCO SANTANDER;ES;EUR;Bolsa de Madrid;Large;8;12;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;476361;DE0007164600;SAPG.DE;SAPG. SAP;DE;EUR;Xetra;Large;5;13;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;401632;DE0008404005;ALVG.DE;ALVG. ALLIANZ;DE;EUR;Xetra;Large;4;14;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;037178;GB0009252882;GSK.L;GLAXOSMITHKLINE;GB;GBP;London SE;Large;1;15;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;408348;DE000BASF111;BASFn.DE;BASFn. BASF;DE;EUR;Xetra;Large;7;16;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;491207;NL0000009355;UNc.AS;BTJ UNILEVER NV;NL;EUR;Euronext Amsterdam;Large;7;17;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;413366;FR0000131104;BNPP.PA;BNP PARIBAS;FR;EUR;Euronext Paris;Large;6;18;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;475531;BE0974293251;ABI.BR;BYYHL ANHEUSER-BUSCH IN V BE;BE;EUR;;Large;1;19;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;465191;DK0060534915;NOVOb.CO;BHCX NOVO NORDISK B;DK;DKK;NASDAQ Copenhagen;Large;7;20;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;098952;GB0009895292;AZN.L;ASTRAZENECA;GB;GBP;London SE;Large;2;21;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;039600;GB0002374006;DGE.L;DIAGEO;GB;GBP;London SE;Large;1;22;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;425240;DE0007100000;DAIGn.DE;DAIGn. DAIMLER;DE;EUR;Xetra;Large;2;23;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;091321;GB00B10RZP78;ULVR.L;BRZP UNILEVER PLC;GB;GBP;London SE;Large;2;24;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;454005;FR0000121014;LVMH.PA;LVMH MOET HENNESSY;FR;EUR;Euronext Paris;Large;4;25;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;071921;GB00BH4HKS39;VOD.L;BHHKS VODAFONE GRP;GB;GBP;London SE;Large;2;26;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;448816;NL0011821202;INGA.AS;BZ ING GRP;NL;EUR;Euronext Amsterdam;Large;6;27;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;546078;NL0010273215;ASML.AS;BF ASML HLDG;NL;EUR;Euronext Amsterdam;Large;0;28;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;478511;CH0244767585;UBSG.S;BRJL UBS GROUP;CH;CHF;Six Swiss Exchange;Large;7;29;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;087061;GB0008706128;LLOY.L;LLOYDS BANKING GRP;GB;GBP;London SE;Large;3;30;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;458887;FR0000120628;AXAF.PA;AXA;FR;EUR;Euronext Paris;Large;2;31;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;070995;GB0007099541;PRU.L;PRUDENTIAL;GB;GBP;London SE;Large;4;32;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;072769;GB00B24CGK77;RB.L;BCGK RECKITT BENCKISER GRP;GB;GBP;London SE;Large;9;33;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;511938;DE0005557508;DTEGn.DE;DTEGn. DEUTSCHE TELEKOM;DE;EUR;Xetra;Large;5;34;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;550190;ES0113211835;BBVA.MC;BCO BILBAO VIZCAYA ARGENTARIA;ES;EUR;Bolsa de Madrid;Large;4;35;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;401225;NL0000235190;AIR.PA;AIRBUS;FR;EUR;Euronext Paris;Large;4;36;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;071887;GB0007188757;RIO.L;RIO TINTO;GB;GBP;London SE;Large;4;37;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;;JE00B4T3BW64;GLEN.L;BTBW B GLENCORE PLC;GB;GBP;London SE;Large;0;38;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;481808;FR0000125486;SGEF.PA;BXH VINCI;FR;EUR;Euronext Paris;Large;9;39;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;453478;FR0000120321;OREP.PA;LOREAL;FR;EUR;Euronext Paris;Large;9;40;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;401140;FR0000120073;AIRP.PA;BYXBJ AIR LIQUIDE;FR;EUR;Euronext Paris;Large;8;41;;;
20171002;SXXP;STOXX Europe 600;EU0009658202;407683;IT0000072618;ISP.MI;INTESA SANPAOLO;IT;EUR;Borsa Italiana;Large;1;42;;;
