Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20160401;SXXP;STOXX Europe 600;EU0009658202;461669;CH0038863350;NESN.S;NESTLE;CH;CHF;Six Swiss Exchange;Large;9;1;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;477408;CH0012005267;NOVN.S;NOVARTIS;CH;CHF;Six Swiss Exchange;Large;9;2;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;474577;CH0012032048;ROG.S;RO E HLDG P;CH;CHF;Six Swiss Exchange;Large;4;3;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;040054;GB0005405286;HSBA.L;HSBC;GB;GBP;London SE;Large;7;4;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;490541;FR0000120271;TOTF.PA;BC TOTAL;FR;EUR;Euronext Paris;Large;3;5;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;028758;GB0002875804;BATS.L;BRITISH AMERICAN TOBACCO;GB;GBP;London SE;Large;2;6;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;465191;DK0060534915;NOVOb.CO;BHCX NOVO NORDISK B;DK;DKK;NASDAQ Copenhagen;Large;8;7;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;;GB00B03MLX29;RDSa.AS;BCBL BCBL ROYAL DUTCH SHELL A;GB;EUR;Euronext Amsterdam;Large;8;8;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;037178;GB0009252882;GSK.L;GLAXOSMITHKLINE;GB;GBP;London SE;Large;7;9;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;408530;DE000BAY0017;BAYGn.DE;BAYGn. BAYER;DE;EUR;Xetra;Large;4;10;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;477518;FR0000120578;SASY.PA;SANOFI;FR;EUR;Euronext Paris;Large;2;11;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;475531;BE0003793107;ABI.BR;ANHEUSER-BUSCH IN V BE;BE;EUR;;Large;8;12;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;013849;GB0007980591;BP.L;BP;GB;GBP;London SE;Large;2;13;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;480710;DE0007236101;SIEGn.DE;SIEGn. SIEMENS;DE;EUR;Xetra;Large;7;14;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;071921;GB00BH4HKS39;VOD.L;BHHKS VODAFONE GRP;GB;GBP;London SE;Large;1;15;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;476361;DE0007164600;SAPG.DE;SAPG. SAP;DE;EUR;Xetra;Large;9;16;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;425240;DE0007100000;DAIGn.DE;DAIGn. DAIMLER;DE;EUR;Xetra;Large;1;17;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;401632;DE0008404005;ALVG.DE;ALVG. ALLIANZ;DE;EUR;Xetra;Large;3;18;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;098952;GB0009895292;AZN.L;ASTRAZENECA;GB;GBP;London SE;Large;2;19;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;491207;NL0000009355;UNc.AS;BTJ UNILEVER NV;NL;EUR;Euronext Amsterdam;Large;5;20;;;
20160401;SXXP;STOXX Europe 600;EU0009658202;408348;DE000BASF111;BASFn.DE;BASFn. BASF;DE;EUR;Xetra;Large;9;21;;;
