Model,Controls,N,Treated,Theta,SE,P_value,Sig,CI_low,CI_high
DML1,Log_MarketCap,1268,636,0.25576934656861794,0.056481051750006415,5.942924851022484e-06,***,0.14506851932966236,0.3664701738075735
DML2,"Log_MarketCap, Momentum_12m",1268,636,0.12641564785896742,0.057748831325545376,0.028592490470514806,**,0.013230018311620018,0.23960127740631482
DML3,"Log_MarketCap, Momentum_12m, Volatility_pre",1268,636,0.11775281374542482,0.05816619394777107,0.0429269425745059,**,0.0037491684900218536,0.23175645900082778
