event_date,ticker_treated,ticker_control,score_treated,score_control,distance,SMD_MarketCap,SMD_Momentum,SMD_Vol,match_valid
2024-01-02,LXS.DE,AVON.L,0.0014570163906028981,0.0014579029491514643,8.86558548566195e-07,-0.523486543572811,-0.16055879604987375,0.18345694642944516,True
2024-01-02,SSPG.L,OXIG.L,0.00227872030078274,0.0022844310557039414,5.710754921201423e-06,0.00018377883095773331,-0.02602239326198951,0.03243779603763596,True
2024-01-02,DRX.L,PHNX.L,0.0070198886328161625,0.006913629815743897,0.00010625881707226545,-0.10957160318212926,-0.43904382890810445,0.48131895260099666,True
2024-01-02,AMS.SW,AGFB.BR,0.0020890679447292107,0.0021071528307852207,1.8084886056010056e-05,1.2233390744620245,0.036042438224706305,1.4508459008842725,True
2024-01-02,KOJAMO.HE,SPKSJF.CO,0.0011972775689713167,0.0011977516362670518,4.7406729573504745e-07,0.2831598919293287,-0.35341497342349093,0.78655596001888,True
2024-01-02,SAFE.L,LRE.L,0.0025249822856700287,0.0025359200581603777,1.0937772490348958e-05,-0.03848010902205968,-0.1332913362954118,0.12175194002786552,True
2024-01-02,HBR.L,TW.L,0.0055251346272831205,0.005491092956760212,3.404167052290831e-05,-0.16102286306616367,-0.7217936236713897,0.8751362529593426,True
2024-01-02,SINCH.ST,INF.L,0.004375496716918975,0.004367453467062702,8.043249856272937e-06,-0.7844427551110167,-0.8173722137771836,2.3599598226285767,True
2024-02-01,BGN.MI,SAF.PA,0.003784975800752489,0.003739226078324425,4.574972242806386e-05,-0.8313895639285737,-0.4755350191012701,0.029158231434968193,True
2024-02-01,GRI.L,FRES.L,0.0021988186521406427,0.0021797428637624354,1.9075788378207243e-05,-0.12663664615700823,1.0785702341277958,-0.26102660901022795,True
2024-02-01,SFSN.SW,AD.AS,0.0027930390027226435,0.002788993346265273,4.045656457370497e-06,-0.982344576888265,0.014183691113918456,0.12500958728601405,True
2024-02-01,HEM.ST,CAMX.ST,0.014177999367114292,0.01446294934557819,0.00028494997846389807,-0.008378929725878085,-0.10807745971325215,-0.17492418575935795,True
2024-02-01,SRP.L,HWDN.L,0.004191096306755715,0.004108119745826493,8.29765609292217e-05,-0.32411729934445255,0.06559912849194394,-0.16164521718567218,True
2024-02-01,BMED.MI,ACX.MC,0.0024408465170085705,0.002423289090875555,1.755742613301567e-05,0.06772225276689818,0.2235707254502166,0.025928780504202945,True
