variable,coef,std_err,t_stat,p_value,ci_lower,ci_upper
Treat_Post,-0.03436873948996776,0.04844876759250906,-0.7093831525093677,0.47809233650061267,-0.12933046855413716,0.06059298957420164
Amihud,-0.03885523296250078,0.03497335284519845,-1.1109953665147456,0.2665793829925329,-0.10740455263322099,0.029694086708219436
Avg_Volume,-1.0787829842169473e-08,4.728997799504608e-09,-2.281208471549631,0.02254319549855799,-2.005687485810593e-08,-1.5187848262330152e-09
