Event Type,N_pairs,beta_DiD_Synch,p_Synch,beta_DiD_IVol,p_IVol,theta_DML_Synch
ADD (inclusion),654,-0.0344,0.4781,-0.0007,0.0126,0.134
DELETE (exclusion),599,-0.1489,0.0024,-0.0001,0.811,0.1189
