Model,Controls,N,Within_R2,Treat_Post,Treat_SE,Treat_p,Treat_Sig,Amihud_coef,Amihud_se,Amihud_p,Avg_Volume_coef,Avg_Volume_se,Avg_Volume_p
M1,None,28362,5.957917428300874e-05,0.00020905271927896646,0.00029923283861316,0.48478994226936356,,,,,,,
M2,Amihud,28362,7.777594538060928e-05,0.0002094258020737184,0.0002991640741568064,0.48391044650713555,,0.00011355683994793326,0.0001677401469673369,0.49842397796904025,,,
M3,"Amihud, Avg_Volume",28362,0.03890184482649228,5.450647447200608e-05,0.00028783752292381855,0.8498078381946925,,0.000121565583449114,0.00016780869559031728,0.4688082882359108,7.306030475166141e-10,9.588450379219778e-11,2.6201263381153694e-14
