Model,Controls,Treat_Post,SE,p_value,Within R²
M1,None,-0.00069239464035913,0.00027912898366647197,0.013123346554154924,0.0012865062239230118
M2,Amihud,-0.0006977544644478138,0.0002790485446356379,0.012407991140529484,0.0014288194625537987
M3,Avg_Volume,-0.0006788630757785443,0.00027433572224812086,0.013345219830406041,0.02573946955008055
M4,"Amihud, Avg_Volume",-0.0006842319569923883,0.00027424971080364095,0.012603855066740888,0.025884368687305592
