Model,Controls,N,Treated,Theta,SE,P_value,Sig,CI_low,CI_high
DML1,Log_MarketCap,1162,581,0.1824587418455478,0.06451128648851717,0.004679259916445459,***,0.05601894373170871,0.3088985399593869
DML2,"Log_MarketCap, Momentum_12m",1162,581,0.11076595889786013,0.06519274148512523,0.08930909415907494,*,-0.017009466466415588,0.23854138426213584
DML3,"Log_MarketCap, Momentum_12m, Volatility_pre",1162,581,0.11410863049750163,0.06906170039568807,0.09847936046765589,*,-0.01929773168009226,0.24946707231401974
