iteration,theta_permuted
0,-0.019069069816507005
1,0.07076881464417496
2,0.04966896679510761
3,0.0030889227297057325
4,-0.02355738311403441
5,0.05314472432150208
6,-0.04994730029893089
7,-0.011490430935191087
8,0.03412405151997411
9,-0.01575683611005892
10,-0.0031665928778408024
11,-0.059452090520715505
12,-0.036888972309653906
13,0.014675212826653839
14,0.05911873304666114
15,0.07977625112610491
16,0.0025083755072346906
17,0.019228566524294638
18,-0.015650542666299814
19,0.06128117943052166
20,-0.07038986343425153
21,0.0006205929400633148
22,-0.046169114284781716
23,0.01962963697797203
24,-0.04390286198600759
25,-0.0994788620813058
26,-0.042033755342007095
27,-0.03626258918065985
28,0.03770323140384474
29,0.05334612834902377
30,-0.06596188315073488
31,0.05685750469862897
32,0.012400211225049218
33,0.0017893562313541745
34,0.005393939588214485
35,0.010968537982716284
36,-0.044314812722027905
37,-0.008895535554269007
38,-0.00656126604719552
39,0.021436938991126826
40,-0.006048310812056076
41,-0.026925961009425424
42,-0.03787773943881954
43,-0.09332596485545279
44,0.08423414289705093
45,0.08623898676161092
46,0.030190433933938998
47,0.024829028635241102
48,-0.0035656238794352316
49,-0.04684192844373509
50,0.003822964602440063
51,0.05232440879080925
52,-0.05670396178449624
53,-0.029549807361146683
54,0.06553959960229332
55,0.029593396239509673
56,-0.058362437649342465
57,0.05134006732745266
58,0.018012855024212886
59,0.061724254596067285
60,-0.1714520593807166
61,0.06635934683630701
62,0.014361353030749596
63,-0.06506225958268341
64,-0.08495595180324102
65,-0.055549941448743916
66,0.011998732160252648
67,-0.0071334111655564966
68,-0.045541168690835035
69,-0.04821165630908016
70,0.09788536666451955
71,0.10948393482642478
72,0.06708133355292174
73,-0.0029210186149894995
74,0.05981053268151293
75,-0.0881555652386771
76,-0.031565072143768275
77,-0.00044532813128048165
78,0.04621150892998113
79,0.043226324790068105
80,-0.035238336060793206
81,-0.019157692720490418
82,-0.10866455731748993
83,-0.030959869157238955
84,0.006953603121586984
85,-0.030494685783751
86,0.040709170607469564
87,-0.003609455842025834
88,0.058434239970223456
89,-0.05590269761196109
90,-0.06230727979286188
91,0.07806651640979578
92,0.06411776348847868
93,-0.07534706199213582
94,0.03674754708505491
95,-0.02228609223743442
96,-0.0182083416163275
97,0.04682857759258661
98,0.07593805933434285
99,0.0138356270741685
100,-0.05706712500659711
101,-0.04280615037407901
102,0.01921361735499294
103,0.008108878022615522
104,0.06612440176978616
105,0.01725023195197152
106,-0.08654915326624127
107,0.046067122927366595
108,-0.008545311981573418
109,0.013741539302504895
110,0.028786801498023006
111,-0.025718292742482562
112,-0.012828726421378323
113,-0.012485098837232918
114,0.10916853794766539
115,-0.01953694877870177
116,0.019993261838719075
117,-0.0037571768781734217
118,0.048481620655043065
119,-0.043170222485443825
120,0.08677813011179002
121,-0.07516131050107488
122,0.05503849006995138
123,0.019147038660736724
124,0.002312677219249297
125,0.007801602151862267
126,0.03627498642094236
127,-0.0005542106446801942
128,0.02901867670032744
129,-0.001374826202589052
130,0.009010229091202386
131,0.012829009836387307
132,-0.04945538455011229
133,-0.044562825420470034
134,-0.003722329299740891
135,-0.029503768023015766
136,0.021937627097680004
137,-0.10752331475557751
138,0.0048660074222293724
139,-0.04142641515189954
140,0.06353003305692703
141,-0.028093746948217833
142,0.015032949119063664
143,-0.04934744030271098
144,0.053849190580477393
145,-0.027191428779341813
146,0.03273376168090072
147,-0.009196857411573018
148,-0.040485561921831344
149,0.0030508147607252647
150,0.008719392639053816
151,0.003019169833744767
152,-0.03507235376638553
153,-0.009319485374213225
154,0.029148283451860442
155,0.030539760008968127
156,-0.05273150164754013
157,-0.07608551023938499
158,0.0040867952016079906
159,-0.004014075850295021
160,-0.011450998658484687
161,-0.025112638762902453
162,0.04915083987268804
163,0.1108731387093877
164,-0.11285977711601809
165,0.05452260690995659
166,-0.03054829197185366
167,-0.005216354550584771
168,-0.03417955686644928
169,-0.07639527655688459
170,-0.023205939671151185
171,-0.059593507399232575
172,0.03061741761301137
173,0.0262633833351061
174,-0.0522688395999515
175,0.020182671852398967
176,0.045569121692965266
177,0.011172285349159837
178,0.04811609313757656
179,0.06111487947362892
180,-0.045002393799764694
181,0.01011839297696227
182,-0.013750792297254247
183,-0.02499924275626447
184,-0.013947454096460159
185,0.09149104968099338
186,0.01744807569247574
187,0.05023696259662954
188,0.010940453681647281
189,-0.02131901169544054
190,-0.02753677515433034
191,-0.012566324387194893
192,0.02299212560567053
193,-0.03662439673444865
194,0.06691536679758328
195,0.015649310400929123
196,-0.07100750571273723
197,0.00048086016430785747
198,-0.0016656398895462266
199,-0.002011064346152073
