Model,Controls,Treat_Post,SE,p_value,Within R²
M1,None,-0.034737038064041825,0.04848954381916142,0.47376114570357997,0.0004812162728391467
M2,Amihud,-0.034064717196499,0.04850771897577058,0.48252659481764226,0.0005131346057815067
M3,Avg_Volume,-0.03504124997885253,0.0484305987344218,0.4693567739365547,0.0007379495789244794
M4,"Amihud, Avg_Volume",-0.03436873948996776,0.04844876759250906,0.47809233650061267,0.00077001140814148
