caliper,baseline,N_pairs,beta_DiD,std_err,t_stat,p_value,ci_lower,ci_upper
0.005,False,196,-0.114877,0.084559,-1.3585,0.1743,-0.280634,0.05088
0.01,True,196,-0.114877,0.084559,-1.3585,0.1743,-0.280634,0.05088
0.05,False,197,-0.111518,0.084203,-1.3244,0.1854,-0.276577,0.053541
