Model,Controls,N,Within_R2,Treat_Post,Treat_SE,Treat_p,Treat_Sig,Amihud_coef,Amihud_se,Amihud_p,Avg_Volume_coef,Avg_Volume_se,Avg_Volume_p
M1,None,30886,0.0012865062239230118,-0.00069239464035913,0.00027912898366647197,0.013123346554154924,**,,,,,,
M2,Amihud,30886,0.0014288194625537987,-0.0006977544644478138,0.0002790485446356379,0.012407991140529484,**,0.00030966346356108097,0.00016493405718536136,0.060459628548564126,,,
M3,"Amihud, Avg_Volume",30886,0.025884368687305592,-0.0006842319569923883,0.00027424971080364095,0.012603855066740888,**,0.0003101946122175467,0.0001652488725555786,0.060509296066238116,4.798283303642123e-10,8.792378143034072e-11,4.872515146914225e-08
