Model,Controls,N,Within_R2,Treat_Post,Treat_SE,Treat_p,Treat_Sig,Amihud_coef,Amihud_se,Amihud_p,Avg_Volume_coef,Avg_Volume_se,Avg_Volume_p
M1,None,30886,0.0004812162728391467,-0.034737038064041825,0.04848954381916142,0.47376114570357997,,,,,,,
M2,Amihud,30886,0.0005131346057815067,-0.034064717196499,0.04850771897577058,0.48252659481764226,,-0.03884329131386462,0.034970457852690304,0.266686793066784,,,
M3,"Amihud, Avg_Volume",30886,0.00077001140814148,-0.03436873948996776,0.04844876759250906,0.47809233650061267,,-0.03885523296250078,0.03497335284519845,0.2665793829925329,-1.0787829842169473e-08,4.728997799504608e-09,0.02254319549855799
