event_date,ticker_treated,ticker_control,score_treated,score_control,distance,SMD_MarketCap,SMD_Momentum,SMD_Vol,match_valid
2024-01-02,BILL.ST,ABF.L,0.0015935984963966429,0.0015959278726783977,2.329376281754803e-06,-1.2538071856555717,-1.3075754417305627,0.5088180107007538,True
2024-01-02,SRP.L,KPN.AS,0.0032556385247893933,0.003248338716623456,7.299808165937491e-06,0.9438926436655701,-0.184894320326098,0.5373756056992863,True
2024-01-02,GRI.L,RR.L,0.0021880677872050014,0.002191402458591279,3.3346713862775386e-06,-1.1117638479851577,-2.716733162063406,-0.7627818096289136,True
2024-01-02,MOBN.SW,VATN.SW,0.013452774891477242,0.014122667718077412,0.0006698928266001703,0.14722876342458224,0.35903954019930495,0.03935920794714767,True
2024-01-02,VIS.MC,EQV1V.HE,0.011010138898615764,0.011002159107971834,7.979790643930507e-06,1.1387796569769961,0.8063207086111848,-0.4133216206016355,True
2024-01-02,SOLB.BR,APR.WA,0.004636067362425445,0.004747404299624291,0.00011133693719884551,0.818262174513128,-0.1324105200300137,-0.07262550890868592,True
2024-01-02,FLS.CO,HTG.L,0.0012932895949621065,0.001293121092853831,1.6850210827557346e-07,-0.3579372329161336,0.6394716514591866,-0.6499881070000265,True
2024-01-02,MAP.MC,ELISA.HE,0.008413372271748173,0.008620154799292646,0.0002067825275444725,-0.2026986044905605,0.7057735526307904,0.09950116487630434,True
2024-01-02,HEM.ST,TEG.DE,0.005555114080466061,0.005411448355612298,0.00014366572485376237,0.4766488774259844,-0.26253397363076686,-0.5656863081170981,True
2024-02-01,KOJAMO.HE,BONHR.OL,0.0012399464572627377,0.0012407119518115764,7.654945488387403e-07,0.060797758216225094,-0.057966824823828624,0.06918722160458142,True
2024-02-01,SAVE.ST,DEMANT.CO,0.001215219877495439,0.0012156626236373,4.427461418609908e-07,-0.2711954029477351,-1.2659761290075715,0.0497926201821283,True
2024-02-01,SINCH.ST,MNDI.L,0.0033868163644572187,0.0033692430997649208,1.7573264692297922e-05,-0.6483722219994922,-0.28048623027206937,1.8747970851837945,True
2024-02-01,HFG.DE,VIRI.PA,0.001629884068774916,0.001634202925947363,4.318857172447071e-06,0.3543272771183605,0.05935248565898042,0.5244335673356957,True
2024-02-01,BANB.SW,LUVE.MI,0.0013457464623624327,0.0013460335947910837,2.8713242865101817e-07,0.8472374895753706,-0.3941280269972266,0.2243663922906266,True
2024-03-01,GRI.L,DNLM.L,0.0021560399439304566,0.0021533779621877823,2.661981742674291e-06,0.01812744660286543,0.1861150937829037,0.027793445312316863,True
2024-03-01,PNN.L,DLN.L,0.003008781122070865,0.003021476138101337,1.2695016030472156e-05,0.08018393860262667,0.23535696588093724,-0.12365896260739684,True
2024-03-01,AMS.SW,GARO.ST,0.00532263355084287,0.005315096668724522,7.536882118347812e-06,0.2183632133225164,-0.153401112854831,1.2889510036601328,True
2024-03-01,HBR.L,TW.L,0.004892777695365161,0.004833694951877546,5.9082743487615455e-05,-0.21123128604169247,-0.7911226803654596,0.872374174679368,True
