event_date,ticker_treated,ticker,Log_MarketCap,Momentum_12m,Volatility_pre,treated
2024-01-02,LSEG.L,11B.WA,14.42641127419511,-0.08670325805328363,0.01903943676104954,0
2024-01-02,LSEG.L,1AT.WA,12.84823704551462,0.6477238558469437,0.020809057634448253,0
2024-01-02,LSEG.L,1U1.DE,14.375418937293889,0.4442048489303267,0.022720301312443427,0
2024-01-02,LSEG.L,8TRA.DE,14.476422576325295,0.42746536820641096,0.017549501763117217,0
2024-01-02,LSEG.L,A3M.MC,13.642514610833608,0.2064212914133943,0.010509448533534275,0
2024-01-02,LSEG.L,AAF.L,19.81331731981226,0.13068858836463573,0.017964489425117774,0
2024-01-02,LSEG.L,AAK.ST,17.870621112610007,0.24391899043666165,0.013716312563280406,0
2024-01-02,LSEG.L,AAL.L,22.87377798766751,-0.5050158072107938,0.026778158400697912,0
2024-01-02,LSEG.L,AALB.AS,15.810780869197893,0.08959513713477364,0.018316319342200283,0
2024-01-02,LSEG.L,ABDN.L,21.124798338993248,-0.04944569580987433,0.02107470338014072,0
2024-01-02,LSEG.L,ABF.L,21.767214327891917,0.3751509834649346,0.013189335800788389,0
2024-01-02,LSEG.L,ABI.BR,18.160500081916865,0.039310790336208164,0.011499585500845757,0
2024-01-02,LSEG.L,ABL.OL,13.186848674131937,-0.07974138012633092,0.02078412629921995,0
2024-01-02,LSEG.L,ABVX.PA,12.98875709832982,0.42968684379424027,0.03727885275371869,0
2024-01-02,LSEG.L,ACE.MI,14.577026500743449,0.10806977646620587,0.013377195990643772,0
2024-01-02,LSEG.L,ACKB.BR,15.055825434113924,0.003957025831092077,0.0098526504650034,0
2024-01-02,LSEG.L,ACR.OL,14.27243375690051,-0.1580799409293611,0.019377303439216734,0
2024-01-02,LSEG.L,ACS.MC,16.746583866137232,0.4565610358532127,0.010196582762992474,0
2024-01-02,LSEG.L,ACT.WA,12.749689453992605,0.2545901804671551,0.009423587370366835,0
2024-01-02,LSEG.L,ACX.MC,15.930904697515073,0.1732562006205041,0.01352382640334172,0
2024-01-02,LSEG.L,AD.AS,17.731463224839956,-0.0038227576394648214,0.011904024504604694,0
2024-01-02,LSEG.L,ADJ.DE,12.330847725153676,-1.0535886487273747,0.061817278093562834,0
2024-01-02,LSEG.L,ADKO.VI,11.344303075450071,0.12924716361879643,0.013530401792004126,0
2024-01-02,LSEG.L,ADP.PA,16.01800321234112,-0.06990016147908387,0.014238795511647973,0
2024-01-02,LSEG.L,ADYEN.AS,18.585917819956066,-0.11318176695229866,0.04566709956731685,0
2024-01-02,LSEG.L,AEDAS.MC,12.868702626117134,0.40230510614484366,0.01752456269586094,0
2024-01-02,LSEG.L,AENA.MC,16.955072777459442,0.3391410222075543,0.013480890119381026,0
2024-01-02,LSEG.L,AFAGR.HE,11.774033377373469,0.07182585880595478,0.038117289498347036,0
2024-01-02,LSEG.L,AFK.OL,14.595244143998121,-0.4234267353636222,0.024211035865691444,0
2024-01-02,LSEG.L,AFRY.ST,17.035106587354967,-0.20227154349785956,0.019934423573115475,0
2024-01-02,LSEG.L,AFX.DE,16.213999743325978,-0.16629702506199712,0.019845851973642938,0
2024-01-02,LSEG.L,AG1.DE,14.29765360179305,-0.2206744460537485,0.031059403870161078,0
2024-01-02,LSEG.L,AGFB.BR,12.370022068374896,-0.6263384914250941,0.02233062368283363,0
2024-01-02,LSEG.L,AGLX.OL,14.848607913827486,-0.39843772587855164,0.02176424932545515,0
2024-01-02,LSEG.L,AHT.L,22.31722700223046,0.1293400765677011,0.019593342620488025,0
2024-01-02,LSEG.L,AIR.PA,18.701379915866994,0.21923573685879555,0.012912184745070648,0
2024-01-02,LSEG.L,AIXA.DE,16.681478137679346,0.3567782242519569,0.024940438521742124,0
2024-01-02,LSEG.L,AKAST.OL,14.685968951424213,0.22185783235922785,0.02359977873090623,0
2024-01-02,LSEG.L,AKBM.OL,13.974657377596627,0.15360730412877685,0.028233974069055097,0
2024-01-02,LSEG.L,AKE.PA,16.463066056420796,0.2008903866933917,0.015427505588587073,0
2024-01-02,LSEG.L,AKER.OL,16.751152290356753,-0.04551072645806863,0.015699343757190495,0
