event_date,ticker_treated,ticker_control,score_treated,score_control,distance,SMD_MarketCap,SMD_Momentum,SMD_Vol,match_valid
2024-01-02,LSEG.L,^STOXX,0.2391360241449254,0.328536892225069,0.08940086808014358,-0.6030856188199665,0.40703195268352743,0.12212035223043329,False
2024-01-02,NG.L,DGE.L,0.020442689317543554,0.019903902655201654,0.0005387866623418995,-0.07162175872343703,0.7328441131663717,-0.18813252909848227,True
2024-02-01,ISP.MI,UU.L,0.003205323023361818,0.003211579942974602,6.256919612783983e-06,-0.733944038120244,0.5773045352507594,0.16004937943846603,True
2024-02-01,CRH.L,REL.L,0.04662101020641522,0.035770663709547804,0.010850346496867419,0.051415183874501294,0.20251900665537811,0.3561109994056484,False
2024-03-01,ITX.MC,LSEG.L,0.03773426514167388,0.03957071696601095,0.0018364518243370737,-1.5700017873633108,0.5139427499028508,0.2420906531349194,True
2024-03-01,RACE.MI,LSEG.L,0.026998532491599996,0.026949311749764417,4.92207418355782e-05,-1.5406671557973437,0.6924008639062199,0.3651844435442847,True
2024-04-02,INGA.AS,LOG.MC,0.006649612919026209,0.006621508882362923,2.8104036663286272e-05,1.1819339098745543,0.4279359062326866,0.3041583076569749,True
2024-04-02,GLEN.L,HSBA.L,0.029923600757092297,0.030253384907561735,0.0003297841504694386,-0.1081308638316528,-0.3472751688647326,0.3871675772201153,True
2024-06-03,LSEG.L,ULVR.L,0.0894353498665965,0.04874227171564587,0.04069307815095063,-0.1182073974588942,0.015455862610943833,-0.0718232020853879,False
2024-06-03,PRX.AS,NKT.CO,0.001391642399006311,0.001391647087316943,4.688310631861467e-09,0.06846884152311469,-0.7754699674740869,0.18384612481187695,True
2024-06-03,NG.L,ULVR.L,0.029055260673813546,0.02920632241289324,0.00015106173907969422,-0.26734203659354194,-0.6020032738667679,0.36109316915147577,True
2024-07-01,ITX.MC,HLE.DE,0.006685236367667498,0.006702396827901574,1.7160460234076115e-05,1.436081730110032,0.30217472860150146,0.17541303280324272,True
2024-08-01,CPG.L,AZN.L,0.02216901303861185,0.01987575237637674,0.0022932606622351123,-0.32039156049120604,0.14912744206974618,-0.22498912378167718,True
2024-09-02,RACE.MI,ITX.MC,0.0072799816315272225,0.007407477270134362,0.00012749563860713943,0.07502011971194437,0.20911161072912365,0.13554752783665863,True
2024-10-01,RR.L,^STOXX50E,0.9582623038766244,0.018045495995651445,0.940216807880973,-0.5947829014221392,1.6707831190074427,0.7714524006036833,False
2024-10-01,PRX.AS,PACT.ST,0.0017192494422458788,0.0017135667474824357,5.682694763443083e-06,0.832072509858494,-0.7215603390555375,0.09641463961944227,True
2024-11-01,CPG.L,TSCO.L,0.025643404789061398,0.02054270327610497,0.0051007015129564265,0.09379434076143629,-0.10841143947329089,-0.034201670646457884,True
2025-01-02,BBVA.MC,SUBC.OL,0.0016288566508897578,0.0016339715712950654,5.1149204053075985e-06,0.08855094857336382,-0.060590505605138435,0.0734415311658587,True
2025-03-03,ABI.BR,GLEN.L,0.0026242140589627302,0.002618996754403719,5.217304559011326e-06,-1.6002562428918423,0.5580485870990265,-0.29511711737771784,True
2025-04-01,INGA.AS,CMP.WA,0.004238118416142574,0.00424172839346775,3.6099773251755535e-06,1.6640998357265055,-1.59204137539545,-0.5285186621177365,True
2025-04-01,BAES.L,ULM.WA,0.9671928206851155,0.027818631792896165,0.9393741888922194,-0.8336458042583987,0.38522709923428955,0.5315340000699296,False
2025-05-01,DGE.L,^STOXX50E,0.06916175495384716,0.07440428382588449,0.0052425288720373275,-0.9259465066616742,-0.7830406564506546,0.24209734896115426,True
2025-06-02,INGA.AS,ACS.MC,0.002574882080090089,0.0025843948756345105,9.512795544421287e-06,0.6569424829341455,-0.3785203735020081,0.013213748795696744,True
2025-08-01,BARC.L,STAN.L,0.06144549591604903,0.056810359550791424,0.004635136365257607,0.19853446502278874,-0.2666942498309122,0.0574824204869993,True
2025-10-01,RIO.L,LSEG.L,0.028848318700889445,0.030080395257813756,0.0012320765569243108,0.08758597594704975,0.2406166884665308,-0.0915623352704819,True
2025-12-01,LLOY.L,BATS.L,0.05200956845378485,0.04121129819693963,0.010798270256845217,-0.14808225881183365,0.5245690173896896,0.12976006649536115,False
2026-02-02,BAES.L,SUY1V.HE,0.9367745083297461,0.03881389739668907,0.897960610933057,-1.0054332731506679,-0.27461594656287475,0.06552282166716622,False
