iteration,beta_placebo,p_value
0,0.1176077272039299,0.5906323701997036
1,0.0864654558975727,0.690935172972198
2,0.014415499779851546,0.9488206852705778
3,0.11216699879697632,0.6250574726258249
4,-0.06829274806882484,0.7755309782016444
5,-0.032367541798060714,0.898396085400309
6,0.056838463308655024,0.8193204663453715
7,-0.030230893954614965,0.901010539868526
8,-0.13518728764282661,0.5413094078828697
9,0.013846370880563817,0.9531959131688259
10,0.09487320528909224,0.7085487956435612
11,-0.014114694878785384,0.9508663304425067
12,-0.1766314444003222,0.4438338970448594
13,0.08376211830461773,0.7177840942257951
14,-0.05645460064740279,0.7750883679222751
15,-0.09561186793761996,0.7148869249879066
16,0.05227876707196431,0.8147665355088649
17,0.05471150940242368,0.8314073080311251
18,-0.09567572275017032,0.7252652595516218
19,-0.07619339325945149,0.7315273992330007
20,-0.40166498770195774,0.05224720892064871
21,0.13357590439985295,0.5481335985896352
22,-0.03531627240066877,0.8640763079522418
23,-0.0014292955365089455,0.9958281104343165
24,0.08073659179184052,0.7132682517149451
25,-0.045203325252255,0.8430760214917505
26,0.07034031567678187,0.7391520640839784
27,0.2817101398474087,0.2502988271869273
28,0.014447388174773127,0.9469221367694862
29,-0.03607930096267884,0.8789035314756948
30,-0.05220888004782515,0.8406035896883088
31,-0.0705859913414981,0.785620318173212
32,-0.19711477944722072,0.37769628229685304
33,-0.0575377680672829,0.8293829694727326
34,-0.12236747507866767,0.5830195505049027
35,-0.17130020170396953,0.4809637150623509
36,0.09408100115213539,0.6913733283996157
37,0.07954086504140147,0.7233337422821216
38,-0.019370732745568817,0.9364902334813654
39,-0.1409914962448697,0.529966614702954
40,0.23984353070343653,0.297067429453163
41,-0.17377798469067057,0.4615968864502076
42,0.027030364417500983,0.9046965152902069
43,0.08958760878324609,0.6903464694346697
44,-0.024667924497246547,0.9224980899368123
45,0.044398586618104766,0.8442756945395455
46,-0.08227301966914574,0.746409910106824
47,-0.3029145816287071,0.1303565602449721
48,-0.2022192772572261,0.3939234935908891
49,-0.022920563767955707,0.9252726114693197
50,-0.11274144923014091,0.6281156007864546
51,0.03374724219284127,0.8858188514445025
52,-0.047963600144798675,0.8281792095272875
53,-0.005244636432636528,0.9828241548827614
54,-0.17135635687188702,0.433701886585927
55,-0.25001780633300696,0.23395225095250116
56,0.2634224787462036,0.23940827762538763
57,-0.1772138438192397,0.45798683947648877
58,-0.1999581338119765,0.38087802973162455
59,-0.09629009187092853,0.6590503574881179
60,0.09919213688197535,0.643005430181474
61,0.0404923233027591,0.8521353093385571
62,0.12296402480957619,0.5634359775890116
63,-0.2630570026096872,0.2985066824871574
64,0.03886733891184517,0.8722381802259522
65,-0.0667533890440354,0.7424454662097484
66,-0.03753304115378426,0.8714669846382685
67,-0.1433881353616434,0.526986633593227
68,0.013689476897857605,0.960392770691417
69,-0.19334745724086003,0.40714849889712346
70,0.0008791919308516631,0.9973483473675868
71,0.09666588831431669,0.6501398588504881
72,-0.1687000298356451,0.3401738840015567
73,-0.21530709006834337,0.32974223114643375
74,0.13107769853100612,0.6177745275345767
75,0.016800253841636394,0.9471013102682877
76,0.16100249729124888,0.4736660189457975
77,-0.13986356590140492,0.5653744424819545
78,-0.08851679310280654,0.6897094079592572
79,-0.07944589603130692,0.6862873755231216
80,0.059409390483987516,0.7821215791092384
81,-0.07534046739161986,0.6989947931336369
82,-0.08672677440889516,0.6904525856286094
83,0.17705572762848618,0.48894922874676605
84,-0.26906756770262824,0.26068818508680636
85,0.13609516696573307,0.5668945781020729
86,-0.010881925570532486,0.9633140516382839
87,-0.006108056504394836,0.979025701225523
88,-0.08608546212115634,0.7150615458472975
89,0.030784675281814305,0.8868165834301158
90,0.08975107007758926,0.7370210432168398
91,0.16509517977408864,0.35487109756154833
92,-0.09202075692016187,0.6702577530779765
93,0.1434451075675279,0.5370501530445071
94,0.07403328041656575,0.7704061137805209
95,0.09665478372013714,0.6938948735705104
96,-0.06601560241370512,0.7619168470076128
97,0.004462214479552605,0.9871012895839728
98,0.0017412200554785303,0.9934559996815107
99,-0.018969435202578096,0.9231142566806603
100,0.10625631878180737,0.5975908863882347
101,-0.05644608311055576,0.7967772401594062
102,-0.06251533691635135,0.7913433944439121
103,-0.1873727340484776,0.43979629459940073
104,0.02853785649259949,0.9133204923857403
105,0.06872135245034398,0.790169398105883
106,0.007335959872093843,0.9761316985374939
107,-0.171915954734961,0.41364743019829775
108,-0.05512599542734743,0.8126754032995251
109,0.03337435056389942,0.8815241176975861
110,-0.04029801030459736,0.856093527668091
111,0.019309084249499127,0.9296798458277098
112,-0.007809088978015741,0.9775735579907199
113,-0.02051119173119471,0.9398251551384302
114,-0.0717641041355096,0.7552005863002864
115,0.2096503386984058,0.27612974474727836
